local_id,patch_url,expected_diff_path
42487782,https://svn.freebsd.org/base/head/sys/teken323342,patch_diffs/42487782_f27475d9d3.diff
42494156,https://android.googlesource.com/platform/external/libavc/+/de9c6cefb626803279d217590ad19255f48ff4d0%5E%21/,patch_diffs/42494156_6ff5561d88.diff
42494168,https://svn.code.sf.net/p/freeimage/svn1895,patch_diffs/42494168_ed8527304e.diff
42498712,git://thekelleys.org.uk/dnsmasq.git -> 41adecad14af8a4255bfd47a79b86b6834a1b5d6,patch_diffs/42498712_68e8fd155f.diff
42498720,git://thekelleys.org.uk/dnsmasq.git -> 7b80c75d9d3c19d8d328f749c06d06788ddb63fc,patch_diffs/42498720_1e5f61a558.diff
42498756,git://thekelleys.org.uk/dnsmasq.git -> 03345ecefeb0d82e3c3a4c28f27c3554f0611b39,patch_diffs/42498756_cd639ab144.diff
42499700,https://svn.apache.org/repos/asf/httpd/httpd/trunk1892012,patch_diffs/42499700_7136fea187.diff
42501349,https://svn.code.sf.net/p/freeimage/svn1907,patch_diffs/42501349_d536a2fe05.diff
42503490,git://code.qt.io/qt/qtsvg.git36cfd9efb9b22b891adee9c48d30202289cfa620,patch_diffs/42503490_cb63945379.diff
42503743,https://anongit.freedesktop.org/git/gstreamer/gstreamerd106390adce5cee837d2d0aab377d758a45a4b2d,patch_diffs/42503743_5a4c0c6f07.diff
42505826,https://sourceware.org/git/?p=elfutils.git;a=commitdiff;h=d844d1575522b5ad9ada0aa3c26105230a1c1884,patch_diffs/42505826_36d1b65e66.diff
42506978,git://thekelleys.org.uk/dnsmasq.git -> e426c2d3bc182d790f83039b77a09d55230ca71f,patch_diffs/42506978_c6a5add601.diff
42506985,https://sourceware.org/git/?p=elfutils.git;a=commitdiff;h=8b9d809568c37c4a6b9225f3c44cadabeb5fa1b0,patch_diffs/42506985_b9a350a955.diff
42507507,git://code.qt.io/qt/qtqa.git6716d7358a9251e37e3cd2e57b34d66b04427cfc,patch_diffs/42507507_3c0dd52f86.diff
42509561,https://sourceware.org/git/?p=elfutils.git;a=commitdiff;h=ed42e7cf11ddb11ffcce9e17276476e0c3d14c71,patch_diffs/42509561_78730a61f1.diff
42509565,https://sourceware.org/git/?p=elfutils.git;a=commitdiff;h=d85945f1056641180e03fb48ab770b893125786e,patch_diffs/42509565_f0c4ec3f8a.diff
42509582,https://sourceware.org/git/?p=elfutils.git;a=commitdiff;h=2785ba7ad21e3f28949c7333d48412122ebbcfa2,patch_diffs/42509582_aac2b2aa8a.diff
42510079,https://sourceware.org/git/?p=elfutils.git;a=commitdiff;h=e3e2ae06fbfcd1b2f3de6945689ef9d9c94a2123,patch_diffs/42510079_63799f2f9e.diff
42519926,https://github.com/ArtifexSoftware/mupdf/commit/d9bc8c6f7fb2e3ec7035bebaaee0edcf59287705,patch_diffs/42519926_bdeb04b69f.diff
42521280,https://sourceware.org/git/?p=elfutils.git;a=commitdiff;h=924bee3c416b50bfdfdb53a3058eac1d7d859ef0,patch_diffs/42521280_ba85650431.diff
42521735,git://git.ghostscript.com/thirdparty-freetype2.gita15133e6efc10f5342dedf5dfca9070c8bcc49ca,patch_diffs/42521735_c0eb81083b.diff
42522218,https://git.qemu.org/git/qemu.gita2e1753b8054344f32cf94f31c6399a58794a380,patch_diffs/42522218_cee464f556.diff
42523045,https://git.qemu.org/git/qemu.git95caf1fb4230d64f7b5e117c6ea988ae38f76aa0,patch_diffs/42523045_627b39b705.diff
42523872,https://git.qemu.org/git/qemu.gitc586691e676214eb7edf6a468e84e7ce3b314d43,patch_diffs/42523872_a0030a6a54.diff
42524683,https://git.qemu.org/git/qemu.git82d70a84c8ee42ef969a9cfddc0f5b30b16165f5,patch_diffs/42524683_cbfb8493d0.diff
42525113,git://code.qt.io/qt/qtqa.git1783c1bdb78491fdad98446d17ed69889955cf45,patch_diffs/42525113_1c8a252fd7.diff
42529062,https://gitlab.isc.org/isc-projects/bind9.git3a206da456723cc38a8a27e1edde1e48da33489a,patch_diffs/42529062_13d023cf27.diff
42530125,https://git.qemu.org/git/qemu.git5fee33d97a7f2e95716417bd164f2f5264acd976,patch_diffs/42530125_d1f7a4d93d.diff
42530486,git://code.qt.io/qt/qtqa.git12bdf7cf9816bfc53b186a9dc530d1e51dfb428e,patch_diffs/42530486_c59a4c918c.diff
42530518,git://code.qt.io/qt/qtqa.git8e8cf683a02fc29ed28ed80712d9a3d9cf716135,patch_diffs/42530518_226bfd989f.diff
42534337,git://code.qt.io/qt/qtqa.git6cfd9beb25674ff0ed9d6d64c8674fb2db15a19d,patch_diffs/42534337_14d5acc611.diff
42534345,git://code.qt.io/qt/qtqa.git0924904881f3fea7dda99d7b7a5c4a677d93111f,patch_diffs/42534345_6fc5676945.diff
42534849,git://git.ghostscript.com/thirdparty-libjpeg.git7fe42a89507fac623fadf0c68fd1b10ebef66a23,patch_diffs/42534849_d44c90b8c1.diff
42535976,git://code.qt.io/qt/qtqa.git80b2c0d9a231505a032e983b3ddbe9bba967b822,patch_diffs/42535976_6db66c661b.diff
42537775,git://git.ghostscript.com/thirdparty-openjpeg.git30664486071cd8712b17b7da71f1297693619100,patch_diffs/42537775_6ac5ba1cf0.diff
42539708,https://anongit.freedesktop.org/git/gstreamer/gstreamer80dfb7bb3f415dac465f89f8945a1546c4fcc280,patch_diffs/42539708_336aee2681.diff
42539821,https://git.torproject.org/tor.gitc000763f1eadb01bdb1fc159e698ebcff58b3b8b,patch_diffs/42539821_541311c844.diff
378014605,git://code.qt.io/qt/qtqa.git322a1f52cc8faf513ba2d4283404948a59476c04,patch_diffs/378014605_d5602acb26.diff
382816021,https://hg.mozilla.org/projects/nss8b47e94847a8eef6d5ecef48565aa6520b565de9,patch_diffs/382816021_7833c394b6.diff
387378125,git://code.qt.io/qt/qtqa.git9cee5875f46248691896eb4a7d1fc02b0960279d,patch_diffs/387378125_5db5e28505.diff
